ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-01-01,0.989568113794581,0.9635252063500022,1.015141987772568,0.989568113794581,0.989568113794581,0.0,0.0,0.0,0.0,0.0,0.0,0.989568113794581
2007-01-01,0.9990104058485121,0.9736668671438844,1.0229315657900238,0.9990104058485121,0.9990104058485121,0.0,0.0,0.0,0.0,0.0,0.0,0.9990104058485121
2008-01-01,1.0084526979024433,0.9831083568116243,1.0325313652067025,1.0084526979024433,1.0084526979024433,0.0,0.0,0.0,0.0,0.0,0.0,1.0084526979024433
2009-01-01,1.0179208592496727,0.9926736913447869,1.0416738380335582,1.0179208592496727,1.0179208592496727,0.0,0.0,0.0,0.0,0.0,0.0,1.0179208592496727
2010-01-01,1.027363151303604,1.0021077919052022,1.0542368517251792,1.027363151303604,1.027363151303604,0.0,0.0,0.0,0.0,0.0,0.0,1.027363151303604
2011-01-01,1.0368054433575349,1.0111185728786731,1.0613074278746588,1.0368054433575349,1.0368054433575349,0.0,0.0,0.0,0.0,0.0,0.0,1.0368054433575349
2012-01-01,1.046247735411466,1.0196859311899014,1.0715604114933246,1.0458107035946709,1.0468287122668551,0.0,0.0,0.0,0.0,0.0,0.0,1.046247735411466
2013-01-01,1.0557158967586957,1.0296190030402523,1.0827124745207117,1.0542484844298148,1.0572245227322608,0.0,0.0,0.0,0.0,0.0,0.0,1.0557158967586957
2014-01-01,1.0651581888126267,1.0398267949802047,1.0898661475817395,1.0622485772232626,1.06800847331584,0.0,0.0,0.0,0.0,0.0,0.0,1.0651581888126267
2015-01-01,1.0746004808665581,1.0509841668732083,1.1007923291279957,1.0701157300001864,1.0789929214556926,0.0,0.0,0.0,0.0,0.0,0.0,1.0746004808665581
2016-01-01,1.0840427729204891,1.0562440443435124,1.1093272712731101,1.0777916934997882,1.0904120892255331,0.0,0.0,0.0,0.0,0.0,0.0,1.0840427729204891
2017-01-01,1.0935109342677185,1.0682025421809058,1.1209713070583516,1.085443094114194,1.1011956759192583,0.0,0.0,0.0,0.0,0.0,0.0,1.0935109342677185
2018-01-01,1.1029532263216497,1.0741115735000037,1.129504457780077,1.0927049937253421,1.112261546201962,0.0,0.0,0.0,0.0,0.0,0.0,1.1029532263216497
2019-01-01,1.1123955183755807,1.083583047520405,1.1405709976061793,1.0996406269084948,1.123985849079322,0.0,0.0,0.0,0.0,0.0,0.0,1.1123955183755807
2020-01-01,1.121837810429512,1.0944686301230682,1.1488782108331512,1.1069417247226572,1.135514711397479,0.0,0.0,0.0,0.0,0.0,0.0,1.121837810429512
2021-01-01,1.1313059717767415,1.1004464650144052,1.1620760165793556,1.1139968889742184,1.1476128159346433,0.0,0.0,0.0,0.0,0.0,0.0,1.1313059717767415
