ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-01-01,0.9885354258893133,0.9117973353714693,1.0461302401430828,0.9885354258893133,0.9885354258893133,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,0.0,0.0,0.0,0.9787784121028026
2007-01-01,0.9807149509135044,0.9096499351787224,1.043547844352521,0.9807149509135044,0.9807149509135044,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,0.0,0.0,0.0,0.9732283896983726
2008-01-01,0.9728944759376951,0.9039459971756835,1.0316086431497289,0.9728944759376951,0.9728944759376951,-0.003096505834591512,-0.003096505834591512,-0.003096505834591512,-0.003096505834591512,-0.003096505834591512,-0.003096505834591512,0.0,0.0,0.0,0.9697979701031035
2009-01-01,0.9650525750030483,0.8910765529064425,1.0213394067640629,0.9650525750030483,0.9650525750030483,-0.009907162371861846,-0.009907162371861846,-0.009907162371861846,-0.009907162371861846,-0.009907162371861846,-0.009907162371861846,0.0,0.0,0.0,0.9551454126311865
2010-01-01,0.9572321000272392,0.879355586022587,1.0149267902379817,0.9572321000272392,0.9572321000272392,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,0.0,0.0,0.0,0.9474750862407255
2011-01-01,0.9494116250514301,0.880516905787322,1.0140394130619184,0.9494116250514301,0.9494116250514301,-0.007486561215129332,-0.007486561215129332,-0.007486561215129332,-0.007486561215129332,-0.007486561215129332,-0.007486561215129332,0.0,0.0,0.0,0.9419250638363007
2012-01-01,0.9415911500756211,0.8701631952354761,1.0046659912069615,0.9393408342155776,0.9437647897584338,-0.0030965058345951988,-0.0030965058345951988,-0.0030965058345951988,-0.0030965058345951988,-0.0030965058345951988,-0.0030965058345951988,0.0,0.0,0.0,0.9384946442410259
2013-01-01,0.9337492491409742,0.8613493451973948,0.9952024920631085,0.9271203950425935,0.9405965717687902,-0.009907162371853857,-0.009907162371853857,-0.009907162371853857,-0.009907162371853857,-0.009907162371853857,-0.009907162371853857,0.0,0.0,0.0,0.9238420867691204
2014-01-01,0.9259287741651652,0.8505592805349829,0.9829123116326496,0.913552989333685,0.9385945797160332,-0.009757013786507616,-0.009757013786507616,-0.009757013786507616,-0.009757013786507616,-0.009757013786507616,-0.009757013786507616,0.0,0.0,0.0,0.9161717603786576
2015-01-01,0.918108299189356,0.8415860302998284,0.9809240992231646,0.9004186308313837,0.9391766790874113,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,0.0,0.0,0.0,0.9106217379742186
2016-01-01,0.9102878242135469,0.8369304497337362,0.9789625379648119,0.8853349543219584,0.9369771150887805,-0.0030965058345896685,-0.0030965058345896685,-0.0030965058345896685,-0.0030965058345896685,-0.0030965058345896685,-0.0030965058345896685,0.0,0.0,0.0,0.9071913183789573
2017-01-01,0.9024459232788999,0.8195249192913647,0.9636645107357017,0.8687661744042021,0.9378627609937307,-0.009907162371854473,-0.009907162371854473,-0.009907162371854473,-0.009907162371854473,-0.009907162371854473,-0.009907162371854473,0.0,0.0,0.0,0.8925387609070454
2018-01-01,0.894625448303091,0.807323631381378,0.9687279534458179,0.8526445810553024,0.9381026848135808,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,-0.009757013786510688,0.0,0.0,0.0,0.8848684345165803
2019-01-01,0.8868049733272818,0.7895161183140075,0.9602012359486849,0.8348656195387664,0.9401769892541855,-0.007486561215117657,-0.007486561215117657,-0.007486561215117657,-0.007486561215117657,-0.007486561215117657,-0.007486561215117657,0.0,0.0,0.0,0.8793184121121641
2020-01-01,0.878984498351473,0.7895829160785023,0.9616793103668587,0.8171340781160245,0.942094435074437,-0.003096505834601958,-0.003096505834601958,-0.003096505834601958,-0.003096505834601958,-0.003096505834601958,-0.003096505834601958,0.0,0.0,0.0,0.875887992516871
2021-01-01,0.871142597416826,0.7605412826889729,0.9531861110525673,0.7988771967587298,0.9432415409747638,-0.009907162371876594,-0.009907162371876594,-0.009907162371876594,-0.009907162371876594,-0.009907162371876594,-0.009907162371876594,0.0,0.0,0.0,0.8612354350449494
